Symbol	h24u0hetero	h24u10hetero	h24u100hetero	h24u500hetero
symb3master_293	6.88	6.64	6.11	8.06
symb3master_294	7.61	7.29	7.84	8.03
symb3master_295	11.01	9.90	7.87	5.87
symb3master_296	17.80	23.39	21.31	20.06
symb3master_297	3.35	3.61	2.68	3.56
symb3master_298	93.64	112.20	99.85	87.82
symb3master_299	0.16	0.35	0.43	0.00
symb3master_300	10.25	13.52	12.65	10.73
symb3master_301	14.16	10.00	11.54	13.53
symb3master_302	30.25	39.14	37.71	34.31
symb3master_303	7.37	7.66	8.41	8.51
symb3master_304	7.69	5.73	5.55	6.04
symb3master_305	56.11	60.24	61.15	62.08
symb3master_306	5.98	4.52	5.71	6.54
symb3master_307	6.19	4.91	5.05	5.61
symb3master_308	52.88	62.25	53.26	34.68
symb3master_309	66.64	65.14	63.16	63.84
symb3master_310	283.30	223.56	236.64	261.24
symb3master_311	41.81	40.64	45.62	42.49
symb3master_312	11.68	12.93	12.14	11.68
symb3master_313	15.30	9.91	9.92	11.12
symb3master_314	18.24	21.08	18.41	20.54
symb3master_315	19.53	18.93	19.84	19.67
symb3master_316	29.01	27.17	25.30	25.36
symb3master_317	21.80	18.32	18.97	23.93
symb3master_318	7.90	6.07	6.16	6.89
symb3master_319	14.50	15.78	13.59	14.86
symb3master_320	9.93	7.23	7.44	8.42
symb3master_321	6.79	5.21	5.44	7.25
symb3master_322	28.38	32.59	26.74	17.82
symb3master_323	7.11	8.99	8.60	9.01
symb3master_324	27.70	28.86	23.67	20.25
symb3master_325	58.54	62.58	71.55	59.10
symb3master_326	320.65	313.90	318.65	279.00
symb3master_327	48.12	42.47	45.28	40.94
symb3master_328	7.81	7.30	6.63	6.89
symb3master_329	45.18	40.69	37.82	40.91
symb3master_330	72.18	65.67	73.08	68.12
symb3master_331	64.94	69.94	87.21	79.66
symb3master_332	11.28	12.71	12.48	11.23
symb3master_333	29.75	31.64	30.59	30.20
symb3master_334	20.54	14.21	15.63	16.78
symb3master_335	62.30	64.71	50.84	33.03
symb3master_336	13.95	11.50	12.46	12.07
symb3master_337	16.95	15.50	15.13	13.45
symb3master_338	14.83	16.43	15.61	16.65
symb3master_339	12.69	11.41	10.42	11.79
symb3master_340	277.50	308.02	289.95	284.80
symb3master_341	49.86	61.87	69.46	64.88
symb3master_342	60.96	63.55	66.61	61.71
symb3master_343	74.79	85.98	94.13	81.14
symb3master_344	33.18	23.19	23.84	28.72
symb3master_345	21.43	24.47	22.50	21.26
symb3master_346	11.38	16.24	13.04	12.15
symb3master_347	51.66	52.81	56.20	57.35
symb3master_348	12.82	13.87	17.04	15.95
symb3master_349	4.81	3.58	4.32	5.33
symb3master_350	9.60	8.79	8.49	8.69
symb3master_351	450.68	437.53	455.07	467.18
symb3master_352	145.84	195.10	196.23	166.31
symb3master_353	225.30	227.99	251.12	242.33
symb3master_354	6.99	6.25	6.84	6.66
symb3master_355	26.42	26.08	23.87	27.71
symb3master_356	15.05	13.16	13.07	14.31
symb3master_357	5.22	5.40	6.32	6.00
symb3master_358	21.42	19.12	17.14	18.58
symb3master_359	15.08	11.54	10.79	8.31
symb3master_360	10.07	10.51	13.15	12.27
symb3master_361	676.41	479.14	400.30	392.22
symb3master_362	35.91	34.12	30.09	22.07
symb3master_363	1.83	1.33	1.89	2.30
symb3master_364	21.18	18.91	16.88	18.45
symb3master_365	19.66	22.24	23.89	20.77
symb3master_366	38.29	39.05	37.91	41.63
symb3master_367	8.44	8.99	9.13	8.88
symb3master_368	13.61	10.90	11.45	11.90
symb3master_369	16.16	17.89	19.34	18.12
symb3master_370	13.61	26.15	24.02	19.59
symb3master_371	17.95	15.51	16.88	18.64
symb3master_372	10.73	8.32	8.65	10.60
symb3master_373	20.70	22.51	22.42	21.58
symb3master_374	76.90	57.66	67.67	64.75
symb3master_375	52.52	61.06	54.96	51.58
symb3master_376	37.86	34.16	33.55	35.36
symb3master_377	24.97	25.38	25.39	29.09
symb3master_378	23.15	23.29	20.38	24.19
symb3master_379	33.42	25.67	28.40	35.44
symb3master_380	26.57	26.45	29.11	27.60
symb3master_381	150.02	161.66	175.55	163.84
symb3master_382	123.94	116.51	126.56	128.46
symb3master_383	128.27	163.92	163.20	133.90
symb3master_384	12.97	15.46	15.37	15.45
symb3master_385	17.20	13.16	12.78	13.46
symb3master_386	16.28	20.59	19.10	18.49
symb3master_387	19.65	18.56	18.45	18.19
symb3master_388	13.75	16.06	16.02	14.71
symb3master_389	98.60	96.44	96.91	85.74
symb3master_390	13.43	14.93	15.00	14.71
symb3master_391	26.33	21.90	22.11	26.25
symb3master_392	14.60	12.58	13.09	12.96
symb3master_393	102.25	86.80	93.16	100.81
symb3master_394	33.61	39.75	37.59	36.97
symb3master_395	1.73	1.12	1.27	1.13
symb3master_396	30.36	27.85	27.52	29.36
symb3master_397	2.64	2.73	2.74	3.48
symb3master_398	31.49	35.52	36.21	34.81
symb3master_399	21.76	16.20	18.26	15.26
symb3master_400	24.43	16.59	20.27	22.09
symb3master_401	26.59	28.84	28.60	27.15
symb3master_402	38.12	39.21	37.03	40.72
symb3master_403	14.40	18.27	18.53	18.80
symb3master_404	23.95	22.31	22.02	19.95
symb3master_405	6.90	6.09	5.79	6.97
symb3master_406	36.63	28.71	29.48	34.80
symb3master_407	19.13	16.24	16.80	17.40
symb3master_408	21.97	27.89	27.45	22.53
symb3master_409	5.47	5.38	5.14	5.34
symb3master_410	25.55	31.80	29.56	33.44
symb3master_411	70.60	64.20	66.17	66.74
symb3master_412	0.09	0.10	0.00	0.17
symb3master_413	3.39	2.65	2.94	3.01
symb3master_414	43.25	43.02	46.59	47.28
symb3master_415	27.05	28.70	30.11	30.05
symb3master_416	42.54	46.79	44.79	44.04
symb3master_417	5.03	6.12	5.22	4.36
symb3master_418	10.36	12.71	12.52	12.00
symb3master_419	11.52	13.92	13.94	10.40
symb3master_420	15.80	16.69	16.11	16.38
symb3master_421	27.66	24.94	24.99	29.82
symb3master_422	1.73	2.62	4.01	2.86
symb3master_423	14.53	12.19	13.16	13.16
symb3master_424	14.13	19.29	19.89	16.76
symb3master_425	30.32	33.57	30.40	29.95
symb3master_426	57.05	46.26	53.43	51.13
symb3master_427	11.61	14.87	14.13	12.48
symb3master_428	47.81	39.56	45.46	42.77
symb3master_429	0.26	0.00	0.18	0.08
symb3master_430	12.82	9.88	10.40	11.31
symb3master_431	21.82	20.39	19.39	16.62
symb3master_432	8.90	12.31	12.21	11.06
symb3master_433	68.86	91.56	131.45	130.83
symb3master_434	15.27	21.26	20.00	17.51
symb3master_435	8.83	13.99	15.70	14.56
symb3master_437	29.72	26.56	24.71	25.52
symb3master_438	24.37	19.61	22.93	25.97
symb3master_439	32.78	35.60	33.39	35.56
symb3master_440	36.91	42.04	42.74	40.14
symb3master_441	4.82	3.74	3.41	4.40
symb3master_442	16.89	20.25	17.68	15.51
symb3master_443	5.82	4.53	5.58	6.08
symb3master_444	14.88	20.19	18.90	18.83
symb3master_445	15.28	17.34	15.47	12.98
symb3master_446	13.70	16.97	17.74	15.73
symb3master_447	1.94	1.78	1.74	2.49
symb3master_448	11.50	17.26	19.07	18.18
symb3master_449	9.71	10.06	10.06	10.09
symb3master_450	51.51	38.18	49.26	49.97
symb3master_451	14.30	20.60	20.41	18.21
symb3master_452	13.22	17.24	16.93	16.74
symb3master_453	20.19	16.17	15.49	15.81
symb3master_454	2.05	2.28	2.07	1.62
symb3master_455	80.56	77.21	84.47	81.05
symb3master_456	19.67	21.43	19.21	20.22
symb3master_457	22.31	20.64	20.99	21.80
symb3master_458	9.86	11.85	11.75	10.11
symb3master_459	19.39	25.56	25.56	24.99
symb3master_460	42.06	38.56	39.55	45.71
