Symbol	h1u0auto	h1u10auto	h1u100auto	h1u500auto
symb3master_561	28.03	27.37	28.02	32.16
symb3master_562	28.94	27.90	27.60	31.91
symb3master_563	80.28	64.87	64.14	55.01
symb3master_564	31.94	31.54	29.36	25.80
symb3master_566	35.58	33.17	30.90	27.34
symb3master_567	13.29	12.02	12.87	12.69
symb3master_568	34.58	38.46	37.29	39.57
symb3master_569	27.37	27.81	29.16	27.32
symb3master_570	15.90	16.43	18.40	15.62
symb3master_571	3.44	3.13	3.46	3.31
symb3master_572	11.97	11.47	12.28	11.58
symb3master_573	25.02	24.02	25.56	22.50
symb3master_574	14.46	16.39	15.72	14.57
symb3master_575	42.70	46.59	47.74	51.36
symb3master_576	22.77	24.38	23.28	26.49
symb3master_577	64.57	70.35	69.10	66.42
symb3master_578	30.21	33.19	31.94	34.90
symb3master_579	8.50	8.34	8.22	7.76
symb3master_580	96.52	96.52	97.21	101.44
symb3master_581	79.57	83.41	81.26	82.83
symb3master_582	15.50	14.78	16.12	17.77
symb3master_583	24.46	25.94	26.80	28.04
symb3master_584	27.03	22.27	20.85	21.32
symb3master_585	82.08	85.99	82.57	90.41
symb3master_586	10.04	10.61	10.56	11.86
symb3master_587	9.52	10.18	10.18	10.58
symb3master_588	29.61	28.77	27.27	25.43
symb3master_589	114.75	86.05	81.11	80.10
symb3master_590	20.28	19.23	18.66	19.29
symb3master_591	18.39	19.07	18.04	20.33
symb3master_592	3.39	4.05	3.86	4.24
symb3master_593	16.08	15.87	16.11	18.83
symb3master_594	1.98	2.16	1.90	1.63
symb3master_595	37.03	39.19	38.13	36.38
symb3master_596	15.46	16.85	17.10	17.00
symb3master_597	17.96	18.26	19.98	17.49
symb3master_598	109.79	99.44	101.12	94.21
symb3master_599	19.79	21.05	20.54	18.19
symb3master_600	30.22	30.38	29.72	28.87
symb3master_601	21.08	21.45	22.47	22.55
symb3master_602	8.35	9.01	8.35	8.91
symb3master_603	16.75	18.31	20.43	21.13
symb3master_604	4.16	4.58	4.51	5.47
symb3master_605	1.15	1.48	1.29	1.38
symb3master_606	103.26	101.30	102.23	97.78
symb3master_607	14.30	13.12	13.16	14.83
symb3master_608	10.78	11.50	11.39	11.91
symb3master_609	4.84	5.17	5.83	5.04
